carton|plan|category_label|stage|active|program|version_pk|tag|mapper_pk|mapper_label|category_pk|magnitude_placeholders
ops_2mass_psc_brightneighbors|0.5.5|veto_location_apogee|none|n|ops|99|0.3.6|||10|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
ops_gaia_brightneighbors|0.5.5|veto_location_boss|none|n|ops|99|0.3.6|||9|{'SDSS_None', 'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid', 'TMASS_Invalid'}
ops_sky_apogee_best|0.5.9|sky_apogee|srd|y|ops_sky|104|0.3.9|||4|{'SDSS_None', 'GAIA_None', 'TMASS_None'}
ops_sky_apogee_good|0.5.9|sky_apogee|srd|y|ops_sky|104|0.3.9|||4|{'SDSS_None', 'GAIA_None', 'TMASS_None'}
ops_sky_boss_best|0.5.9|sky_boss|srd|y|ops_sky|104|0.3.9|||5|{'SDSS_None', 'GAIA_None', 'TMASS_None'}
ops_sky_boss_good|0.5.9|sky_boss|srd|y|ops_sky|104|0.3.9|||5|{'SDSS_None', 'GAIA_None', 'TMASS_None'}
ops_sky_boss_fallback|0.5.12|sky_boss|srd|y|ops_sky|110|0.3.11|||5|{'SDSS_None', 'GAIA_None', 'TMASS_None'}
ops_std_apogee|0.5.0|standard_apogee|srd|y|ops_std|83|0.3.0|||1|{'SDSS_-9999.0', 'GAIA_Invalid', 'SDSS_Invalid'}
ops_std_boss|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'SDSS_-9999.0', 'SDSS_Invalid', 'TMASS_Invalid'}
ops_std_boss_gdr2|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'TMASS_Invalid'}
ops_std_boss_lsdr8|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'TMASS_Invalid'}
ops_std_boss_ps1dr2|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'TMASS_Invalid'}
ops_std_boss_red|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'SDSS_Invalid'}
ops_std_boss_tic|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'SDSS_None', 'SDSS_-9999.0', 'SDSS_Invalid'}
ops_std_eboss|0.5.0|standard_boss|srd|y|ops_std|83|0.3.0|||2|{'GAIA_Invalid', 'TMASS_Invalid'}
ops_tycho2_brightneighbors|0.5.5|veto_location_boss|none|n|ops|99|0.3.6|||9|{'SDSS_None', 'GAIA_Invalid', 'TMASS_Invalid'}
