carton|program|version_pk|plan|tag|mapper_pk|mapper_label|category_pk|category_label|value|value_min|value_max|priority_min|priority_max|cadence_pk|cadence_label|lambda_eff|instrument_pk|instrument_label|magnitude_placeholder
mwm_legacy_ir2opt|mwm_legacy|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|6100|6100|{1}|{'bright_1x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'SDSS_None', 'SDSS_-9999.0'}
mwm_ob_cepheids|mwm_ob|92|0.5.1|0.3.2|0|MWM|0|science|{3.0}|3.0|3.0|2910|2910|{10}|{'bright_3x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None'}
mwm_ob_core|mwm_ob|92|0.5.1|0.3.2|0|MWM|0|science|{3.0}|3.0|3.0|2910|2910|{10}|{'bright_3x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_rv_long_fps|mwm_rv|83|0.5.0|0.3.0|0|MWM|0|science|{6.0, 9.0, 12.0, 15.0, 18.0, 24.0, 30.0}|6.0|30.0|2500|2500|{15, 16, 21, 22, 24, 25, 27, 28}|{'bright_15x1', 'bright_12x2', 'bright_15x2', 'bright_6x2', 'bright_9x1', 'bright_6x1', 'bright_9x2', 'bright_12x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_rv_short_fps|mwm_rv|83|0.5.0|0.3.0|0|MWM|0|science|{18.0}|18.0|18.0|2510|2510|{39}|{'bright_18x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_snc_100pc_apogee|mwm_snc|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|1805|1805|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_snc_100pc_boss|mwm_snc|83|0.5.0|0.3.0|0|MWM|0|science|{2.0}|2.0|2.0|1800|1800|{9, 34}|{'bright_2x1', 'dark_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_snc_250pc_apogee|mwm_snc|83|0.5.0|0.3.0|0|MWM|0|science|{1.0}|1.0|1.0|1815|1815|{1}|{'bright_1x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_snc_250pc_boss|mwm_snc|83|0.5.0|0.3.0|0|MWM|0|science|{2.0}|2.0|2.0|1810|1810|{9}|{'bright_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_tess_ob|mwm_tessob|109|0.5.11|0.3.10|0|MWM|0|science|{16.0, 8.0, 32.0}|8.0|32.0|2200|2200|{18, 19, 20}|{'bright_8x4', 'bright_8x2', 'bright_8x1'}|{16000.0}|{1}|{'APOGEE'}|{'TMASS_Invalid', 'SDSS_None'}
mwm_tess_planet|mwm_planet|83|0.5.0|0.3.0|0|MWM|0|science|{1.0, 2.0, 3.0, 4.0, 5.0, 6.0}|1.0|6.0|2600|2610|{1, 2, 3, 4, 5, 6}|{'bright_1x6', 'bright_1x1', 'bright_1x5', 'bright_1x3', 'bright_1x2', 'bright_1x4'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'TMASS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_tessrgb_core|mwm_tessrgb|83|0.5.0|0.3.0|0|MWM|0|science|{1.0, 2.0, 3.0, 4.0, 5.0, 6.0}|1.0|6.0|2800|2800|{1, 2, 3, 4, 5, 6}|{'bright_1x6', 'bright_1x1', 'bright_1x5', 'bright_1x3', 'bright_1x2', 'bright_1x4'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_wd_core|mwm_wd|83|0.5.0|0.3.0|0|MWM|0|science|{2.0}|2.0|2.0|1400|1400|{34}|{'dark_2x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'SDSS_None', 'TMASS_Invalid', 'SDSS_-9999.0'}
mwm_yso_cluster_apogee|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'GAIA_Invalid', 'SDSS_-9999.0'}
mwm_yso_cluster_boss|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0, 4.0, 5.0, 6.0}|3.0|6.0|2700|2700|{10, 13, 14, 15}|{'bright_4x1', 'bright_3x1', 'bright_6x1', 'bright_5x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'SDSS_None', 'TMASS_Invalid', 'SDSS_-9999.0'}
mwm_yso_cmz_apogee|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_yso_disk_apogee|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_yso_disk_boss|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0, 4.0, 5.0, 6.0}|3.0|6.0|2700|2700|{10, 13, 14, 15}|{'bright_4x1', 'bright_3x1', 'bright_6x1', 'bright_5x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'SDSS_None'}
mwm_yso_embedded_apogee|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_yso_nebula_apogee|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'GAIA_Invalid', 'SDSS_None'}
mwm_yso_ob_apogee|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'TMASS_Invalid', 'SDSS_None'}
mwm_yso_ob_boss|mwm_yso|83|0.5.0|0.3.0|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{5400.0}|{0}|{'BOSS'}|{'TMASS_Invalid', 'SDSS_None'}
mwm_yso_pms_apogee|mwm_yso|92|0.5.1|0.3.2|0|MWM|0|science|{3.0}|3.0|3.0|2700|2700|{10}|{'bright_3x1'}|{16000.0}|{1}|{'APOGEE'}|{'SDSS_Invalid', 'SDSS_None', 'SDSS_-9999.0'}
mwm_yso_pms_boss|mwm_yso|92|0.5.1|0.3.2|0|MWM|0|science|{3.0, 4.0, 5.0, 6.0}|3.0|6.0|2700|2700|{10, 13, 14, 15}|{'bright_4x1', 'bright_3x1', 'bright_6x1', 'bright_5x1'}|{5400.0}|{0}|{'BOSS'}|{'SDSS_Invalid', 'SDSS_None', 'SDSS_-9999.0'}
